Date,Min_Temp,Max_Temp,Avg_Temp
2023-07-01,26,32,28.6
2023-07-02,27,35,29.1
2023-07-03,28,34,31.1
2023-07-04,27,35,33.2
2023-07-05,24,32,28.4
2023-07-06,27,34,32.1
2023-07-07,27,36,29.2
2023-07-08,26,31,27.8
2023-07-09,27,30,29.9
2023-07-10,27,34,27.8
2023-07-11,28,36,32.7
2023-07-12,28,37,33.9
2023-07-13,28,37,33
2023-07-14,28,37,33
2023-07-15,27,35,30
2023-07-16,27,33,27.6
2023-07-17,26,32,28.9
2023-07-18,27,33,28.2
2023-07-19,27,32,28
2023-07-20,26,29,27
2023-07-21,28,32,28.9
2023-07-22,26,32,28.6
2023-07-23,26,33,29.8
2023-07-24,27,33,30.4
2023-07-25,27,34,30.6
2023-07-26,26,33,30
2023-07-27,26,31,28.2
2023-07-28,25,30,28
2023-07-29,26,29,27.9
2023-07-30,27,32,29.8
2023-07-31,26,33,29.6
